compound,targets,mutations,moa-broad,moa-fine,human-approved,clinical-trials,gpt-notes-approval
Azithromycin (hydrate),none,n/a,unclear,unclear,yes,yes,Approved as an antibiotic for bacterial infections.
Baicalin,none,n/a,activator/agonist,unclear,no,yes,"Used in traditional medicine, researched for various pharmacological effects."
Balsalazide (sodium hydrate),"IL6, STAT3",n/a,unclear,JAK/STAT inhibitor,yes,yes,Used for ulcerative colitis treatment in humans.
BAY1125976,"AKT1, AKT2, AKT3",n/a,inhibitor/antagonist,PI3K/AKT inhibitor,no,yes,Cancer treatment trials but not approved for human use.
Belinostat,HDAC6,n/a,inhibitor/antagonist,HDAC inhibitor,yes,yes,Approved for relapsed/refractory peripheral T-cell lymphoma.
Belumosudil,"ROCK2, ROCK1",n/a,inhibitor/antagonist,unclear,yes,yes,Approved for chronic graft-versus-host disease in the US.
Belumosudil (mesylate),"ROCK2, ROCK1",n/a,inhibitor/antagonist,unclear,yes,yes,Approved for chronic graft-versus-host disease.
Belzutifan,EPAS1,n/a,inhibitor/antagonist,unclear,yes,yes,Approved for treating certain cancer types.
Bendamustine,none,n/a,unclear,DNA synthesis/repair inhibitor,yes,yes,Approved for use in leukemia and lymphoma treatment.
Benproperine (phosphate),ARPC2,n/a,inhibitor/antagonist,unclear,yes,yes,Studied as a cough suppressant; not widely approved.
Bentamapimod,"MAPK8, MAPK9, MAPK10",n/a,inhibitor/antagonist,Other MAPK inhibitor,no,yes,Investigated for ovarian cancer; not approved for human use.
Benztropine (mesylate),none,n/a,inhibitor/antagonist,unclear,yes,yes,Used for Parkinson's disease and drug-induced extrapyramidal symptoms.
Berbamine,CACNA1C,n/a,inhibitor/antagonist,unclear,no,no,"Studied for cancer treatment, but not approved for human use yet."
Berbamine (dihydrochloride),none,n/a,inhibitor/antagonist,unclear,no,no,No clinical trial data found on clinicaltrials.gov.
Berberine (chloride hydrate),none,n/a,unclear,unclear,no,yes,"Used in trials for metabolic/heart diseases, not FDA-approved."
Bergenin,none,n/a,unclear,unclear,no,yes,Investigated for anti-inflammatory and antiulcer effects in clinical trials.
Bestatin,ANPEP,n/a,inhibitor/antagonist,unclear,no,yes,Studied in trials; not approved for human therapeutic use.
Bestatin (hydrochloride),none,n/a,inhibitor/antagonist,unclear,no,yes,Investigated in clinical trials but not approved for human use.
Betamethasone dipropionate,NR3C1,n/a,activator/agonist,Glucocorticoid receptor agonist,yes,yes,A corticosteroid approved and used in topical formulations for inflammation.
Bexarotene,"RXRA, RXRB, RXRG",n/a,activator/agonist,Retinoic receptor agonist,yes,yes,Approved for treating cutaneous T-cell lymphoma.
BI-3406,"KRAS, SOS1",n/a,inhibitor/antagonist,RAS inhibitor,no,yes,"Investigational compound, clinical trials for KRAS-driven cancers."
BI-78D3,none,n/a,inhibitor/antagonist,Other MAPK inhibitor,no,yes,"Investigated for Alzheimer's and inflammatory diseases, not approved for human use."
Bicalutamide,AR,n/a,inhibitor/antagonist,Androgen receptor antagonist,yes,yes,Approved as antiandrogen for prostate cancer treatment.
Bimatoprost,none,n/a,unclear,unclear,yes,yes,Approved for treating glaucoma and cosmetic lash applications.
Bimiralisib,"PIK3CA, PIK3CB, MTOR","PIK3CAH1047R, PIK3CAE542K, PIK3CAE545K",inhibitor/antagonist,PI3K/AKT inhibitor,no,yes,Investigational PI3K/mTOR inhibitor; not approved for human use as of 2023.
Binimetinib,"MAP2K1, MAP2K2",n/a,inhibitor/antagonist,MEK inhibitor,no,yes,"Investigated for cancer, not approved for human use."
Bisoprolol (hemifumarate),ADRB1,n/a,inhibitor/antagonist,Adrenoceptor agonist,yes,yes,"Approved for hypertension, heart failure, and angina."
Bortezomib,PSMB5,n/a,inhibitor/antagonist,Proteasome inhibitor,yes,yes,Approved for multiple myeloma and mantle cell lymphoma.
Bosentan (hydrate),"EDNRA, EDNRB",n/a,inhibitor/antagonist,unclear,yes,yes,Approved for treating pulmonary arterial hypertension.
Brimonidine,"ADRA2A, ADRA2B, ADRA2C",n/a,activator/agonist,Adrenoceptor agonist,yes,yes,Used in the form of brimonidine tartrate for glaucoma treatment.
Brivudine,none,n/a,unclear,unclear,yes,yes,"Approved in Europe, not widely used in the US."
Budesonide,NR3C1,n/a,activator/agonist,Glucocorticoid receptor agonist,yes,yes,"Used for asthma, Crohn's disease, ulcerative colitis."
Busulfan,none,n/a,unclear,DNA synthesis/repair inhibitor,yes,yes,Approved for use in bone marrow transplantation.
c-Kit-IN-1,"KIT, MET, KDR, PDGFRA, PDGFRB",n/a,inhibitor/antagonist,Multi-TK inhibitor,no,no,Experimental compound with no clinical trials reported.
Cabozantinib (S-malate),"MET, KDR, AXL",n/a,inhibitor/antagonist,Multi-TK inhibitor,yes,yes,Approved for medullary thyroid cancer and renal cell carcinoma.
Canagliflozin,SLC5A2,n/a,inhibitor/antagonist,Glucose transporter inhibitor,yes,yes,Approved for type 2 diabetes treatment.
Canagliflozin (hemihydrate),SLC5A2,n/a,inhibitor/antagonist,Glucose transporter inhibitor,yes,yes,Approved for type 2 diabetes.
Capivasertib,"AKT1, AKT2, AKT3, RPS6KB1, PRKACA, ROCK2, ROCK1",n/a,inhibitor/antagonist,PI3K/AKT inhibitor,no,yes,In clinical trials for cancer. Not yet approved for human use.
Capmatinib,MET,n/a,inhibitor/antagonist,EGFR/ERBB inhibitor,yes,yes,Approved for NSCLC treatment by FDA in May 2020.
Captopril,ACE,n/a,inhibitor/antagonist,unclear,yes,yes,First ACE inhibitor approved for hypertension and heart failure.
Carbamazepine,none,n/a,inhibitor/antagonist,HDAC inhibitor,yes,yes,Used for epilepsy and neuropathic pain.
Carbidopa (monohydrate),AHR,n/a,inhibitor/antagonist,unclear,yes,yes,Used in combination with levodopa for Parkinson's treatment.
Celecoxib,PTGS2,n/a,inhibitor/antagonist,Cyclooxygenase inhibitor,yes,yes,Used for arthritis pain and inflammation; approved NSAID.
Cepharanthine,"CYP3A4, CYP2E1, CYP2C9",n/a,inhibitor/antagonist,unclear,no,yes,Studied for cancer and viral diseases; not approved for human use yet.
Chlorhexidine (diacetate),none,n/a,unclear,unclear,yes,yes,Used as antiseptic and disinfectant. Approved for human use.
Ciclopirox,none,n/a,unclear,unclear,yes,yes,"Approved for antifungal use, primarily in nail and skin treatments."
Cilostazol,PDE3A,n/a,inhibitor/antagonist,unclear,yes,yes,Used to treat intermittent claudication associated with peripheral artery disease.
Cinacalcet,CASR,n/a,activator/agonist,unclear,yes,yes,Used to treat secondary hyperparathyroidism and parathyroid carcinoma.
Citalopram (hydrobromide),SLC6A4,n/a,inhibitor/antagonist,unclear,yes,yes,Approved antidepressant; selective serotonin reuptake inhibitor (SSRI).
Clobetasol propionate,"CYP3A5,CYP3A4",n/a,inhibitor/antagonist,unclear,yes,yes,It's a potent corticosteroid for skin conditions.
Clofarabine,none,n/a,inhibitor/antagonist,DNA synthesis/repair inhibitor,yes,yes,Approved for leukemia treatment in pediatric patients.
Clonidine (hydrochloride),"ADRA2A, ADRA2B, ADRA2C",n/a,activator/agonist,Adrenoceptor agonist,yes,yes,Used for hypertension and ADHD among other conditions.
Clopidogrel,P2RY12,n/a,inhibitor/antagonist,unclear,yes,yes,"Antiplatelet drug approved for preventing stroke, heart attack in high-risk patients."
Clotrimazole,"CYP2A6, CYP51A1",n/a,inhibitor/antagonist,unclear,yes,yes,Antifungal used in topical and oral preparations.
Cloxacillin (sodium),none,n/a,inhibitor/antagonist,unclear,yes,yes,Approved as a penicillinase-resistant antibiotic for human use.
Cobimetinib,MAP2K1,n/a,inhibitor/antagonist,MEK inhibitor,yes,yes,Approved for melanoma in combination with vemurafenib.
CP21R7,"GSK3B, PRKCA",n/a,inhibitor/antagonist,GSK3 inhibitor,no,yes,Investigational drug in research for neurodegenerative diseases.
crizotinib,"ALK, MET, ROS1",n/a,inhibitor/antagonist,Multi-TK inhibitor,yes,yes,Approved for NSCLC treatment.
Crizotinib (hydrochloride),"ALK, MET, ROS1",n/a,inhibitor/antagonist,Multi-TK inhibitor,yes,yes,Approved for ALK-positive NSCLC treatment.
Cyclosporin A,"PPP3CA, PPP3CB, PPP3CC",n/a,inhibitor/antagonist,unclear,yes,yes,Immunosuppressant approved for organ transplant patients.
Cysteamine (hydrochloride),none,n/a,unclear,unclear,yes,yes,FDA-approved for cystinosis treatment.
Cytarabine,none,n/a,inhibitor/antagonist,DNA synthesis/repair inhibitor,yes,yes,Used in chemotherapy for leukemia and other cancers.
Cytarabine (hydrochloride),none,n/a,inhibitor/antagonist,DNA synthesis/repair inhibitor,yes,yes,Used in chemotherapy for leukemia and lymphoma.
Dabrafenib,"BRAF, RAF1",BRAFV600E,inhibitor/antagonist,RAF inhibitor,yes,yes,Approved for melanoma treatment.
Daidzin,ALDH2,n/a,inhibitor/antagonist,unclear,no,yes,investigated for alcoholism; not approved for treatment
Dapagliflozin,SLC5A2,n/a,inhibitor/antagonist,Glucose transporter inhibitor,yes,yes,Approved for diabetes treatment.
"Dapagliflozin ((2S)-1,2-propanediol, hydrate)",SLC5A2,n/a,inhibitor/antagonist,Glucose transporter inhibitor,yes,yes,Approved SGLT2 inhibitor for type 2 diabetes and heart failure.
Daptomycin,none,n/a,unclear,unclear,yes,yes,Approved as an antibiotic for skin infections.
Darinaparsin,none,n/a,unclear,unclear,no,yes,Used in clinical trials for certain cancers only.
Darolutamide,AR,n/a,inhibitor/antagonist,Androgen receptor antagonist,yes,yes,Approved for treating non-metastatic castration-resistant prostate cancer.
Decitabine,"DNMT1, DNMT3A, DNMT3B",n/a,inhibitor/antagonist,DNA methyltransferase inhibitor,yes,yes,Approved for treatment of myelodysplastic syndromes and acute myeloid leukemia.
Delamanid,none,n/a,inhibitor/antagonist,unclear,yes,yes,Approved for MDR-TB treatment.
Demeclocycline,none,n/a,inhibitor/antagonist,unclear,yes,yes,"Used off-label for SIADH, primarily an antibiotic."
Dexamethasone,NR3C1,n/a,activator/agonist,Glucocorticoid receptor agonist,yes,yes,Commonly used glucocorticoid for inflammation and immune response regulation.
Dexmedetomidine,"ADRA2A, ADRA2B, ADRA2C",n/a,activator/agonist,Adrenoceptor agonist,yes,yes,Approved as sedative and analgesic.
Diammonium Glycyrrhizinate,none,n/a,unclear,unclear,no,yes,Used in trials for hepatitis. Not approved for general human use.
Digitoxin,none,n/a,unclear,unclear,no,yes,"Clinical trials for certain conditions, but not FDA approved for human use."
Dihydroartemisinin,none,n/a,unclear,unclear,yes,yes,"Active metabolite of artemisinin, approved for malaria treatment."
Dimethyl fumarate,NFE2L2,n/a,activator/agonist,unclear,yes,yes,Approved for multiple sclerosis treatment.
Dinaciclib,"CDK1, CDK2, CDK5, CDK9",n/a,inhibitor/antagonist,CDK inhibitor,no,yes,Investigated in trials; not yet approved for human use.
Diphenhydramine,HRH1,n/a,inhibitor/antagonist,unclear,yes,yes,"Approved antihistamine, used for allergies and as a sleep aid."
Docetaxel,none,n/a,inhibitor/antagonist,Microtubule inhibitor,yes,yes,"Approved anticancer drug, often used in chemotherapy treatments."
Docetaxel (Trihydrate),"TUBB1, TUBB3, TUBB4B, TUBB4A, TUBB2A, TUBB2B",n/a,unclear,Microtubule inhibitor,yes,yes,"Approved cancer treatment, commonly used in chemotherapy."
Dorzolamide (hydrochloride),CA2,n/a,inhibitor/antagonist,unclear,yes,yes,Approved for glaucoma treatment.
Doxorubicin (hydrochloride),"TOP2A, TOP2B, TOP1",n/a,inhibitor/antagonist,DNA synthesis/repair inhibitor,yes,yes,Commonly used chemotherapy drug for several cancers.
Doxycycline (monohydrate),"MMP7, MMP8, MMP9, MMP13, MMP14",n/a,inhibitor/antagonist,unclear,yes,yes,Approved antibiotic for bacterial infections.
Drospirenone,none,n/a,unclear,unclear,yes,yes,"Found in birth control, often combined with ethinyl estradiol."
DT-061,none,n/a,activator/agonist,unclear,no,yes,"Investigated for oncology, no approval yet for human use."
DTP3,none,n/a,inhibitor/antagonist,unclear,no,yes,Currently being investigated in clinical trials in the UK.
Econazole,none,n/a,unclear,unclear,yes,yes,Antifungal approved for dermatological use.
Edoxaban (tosylate monohydrate),F10,n/a,inhibitor/antagonist,unclear,yes,yes,Approved as an anticoagulant for preventing stroke and blood clots.
Elagolix sodium,GNRHR,n/a,inhibitor/antagonist,unclear,yes,yes,Approved for endometriosis pain in women.
Elimusertib hydrochloride,ATR,n/a,inhibitor/antagonist,unclear,no,yes,Tested in trials for cancer but not approved for human use.
Encorafenib,BRAF,BRAFV600E,inhibitor/antagonist,RAF inhibitor,yes,yes,Approved for use in BRAF-mutant melanoma.
Entecavir (monohydrate),none,n/a,unclear,unclear,yes,yes,Approved for treating hepatitis B infection.
Entrectinib,"NTRK1, NTRK2, NTRK3, ROS1, ALK",n/a,inhibitor/antagonist,Other TK inhibitor,yes,yes,Approved for use in cancers with NTRK gene fusions.
Epirubicin (hydrochloride),TOP2A,n/a,inhibitor/antagonist,DNA synthesis/repair inhibitor,yes,yes,Used in chemotherapies as single agent or in combination treatments.
Eplerenone,NR3C2,n/a,inhibitor/antagonist,unclear,yes,yes,Used to treat heart failure and hypertension.
Erdafitinib,"FGFR1, FGFR2, FGFR3, FGFR4",n/a,inhibitor/antagonist,Other TK inhibitor,yes,yes,Approved for bladder cancer treatment.
ERK5-IN-2,MAPK7,n/a,inhibitor/antagonist,Other MAPK inhibitor,no,no,Not found in clinicaltrials.gov database as of the latest available data.
Erlotinib,EGFR,n/a,inhibitor/antagonist,EGFR/ERBB inhibitor,yes,yes,Approved for human use for non-small cell lung cancer.
Erythromycin,none,n/a,inhibitor/antagonist,unclear,yes,yes,Antibiotic used to treat infections; approved for human use.
Esmolol (hydrochloride),ADRB1,n/a,inhibitor/antagonist,unclear,yes,yes,Used as a beta-1 blocker for acute heart issues.
Estrone sulfate (potassium),none,n/a,unclear,unclear,no,yes,Estrone sulfate used in hormone therapy; potassium salt not specifically approved.
ETC-206,none,n/a,inhibitor/antagonist,Protein synthesis inhibitor,no,yes,"Investigational drug for cancer, not yet approved for human use."
Everolimus,"MTOR, FKBP1A",n/a,inhibitor/antagonist,MTOR inhibitor,yes,yes,"Approved for certain types of cancer, organ transplantation, and tuberous sclerosis."
EX229,PRKAA1,n/a,activator/agonist,unclear,no,no,No clinical trial information found on clinicaltrials.gov.
Fedratinib (hydrochloride hydrate),"JAK2, FLT3, RET",JAK2V617F,inhibitor/antagonist,JAK/STAT inhibitor,yes,yes,Approved for treatment of myelofibrosis.
Fenofibrate,"CYP2C19, CYP2B6, CYP2C9, CYP2C8, CYP3A4, PPARA",n/a,unclear,unclear,yes,yes,Fenofibrate is approved for human use in treating hypercholesterolemia.
Ferulic acid,"FGFR1, FGFR2",n/a,inhibitor/antagonist,Other TK inhibitor,no,yes,Used in skincare; not an FDA-approved drug.
Filgotinib,"JAK1, JAK2, TYK2, JAK3",n/a,inhibitor/antagonist,JAK/STAT inhibitor,yes,yes,Approved in Japan and EU for rheumatoid arthritis.
Finasteride,SRD5A2,n/a,inhibitor/antagonist,unclear,yes,yes,Used for benign prostatic hyperplasia and male pattern baldness.
Fingolimod (hydrochloride),PAK1,n/a,unclear,unclear,yes,yes,Approved for multiple sclerosis treatment.
Flumatinib (mesylate),ABL1,n/a,inhibitor/antagonist,Other TK inhibitor,no,yes,Used in trials for chronic myeloid leukemia.
Flutamide,AR,n/a,inhibitor/antagonist,Androgen receptor antagonist,yes,yes,Used to treat prostate cancer as an antiandrogen.
Fluvoxamine,SLC6A4,n/a,unclear,unclear,yes,yes,SSRI approved for treating OCD and depression.
Fluvoxamine (maleate),none,n/a,inhibitor/antagonist,unclear,yes,yes,Approved for treating OCD and depression-related disorders in humans.
Folic acid,none,n/a,unclear,unclear,yes,yes,Widely used as a dietary supplement and in fortified foods.
Fostamatinib (disodium hexahydrate),"SYK, FLT3, LYN, LCK",n/a,inhibitor/antagonist,Other TK inhibitor,yes,yes,Approved for treatment of chronic immune thrombocytopenia in adults.
Fulvestrant,ESR1,n/a,inhibitor/antagonist,unclear,yes,yes,Estrogen receptor antagonist used for hormone receptor-positive breast cancer.
Fumaric acid,none,n/a,inhibitor/antagonist,unclear,yes,yes,Used in psoriasis treatment as part of fumaric acid esters.
Furosemide,"SLC12A1, SLC12A2",n/a,inhibitor/antagonist,unclear,yes,yes,"Widely used diuretic, approved for various conditions like hypertension and edema."
Fusidic acid,none,n/a,inhibitor/antagonist,unclear,yes,yes,Used topically and orally for bacterial infections.
Futibatinib,"FGFR1, FGFR2, FGFR3, FGFR4","FGFR2V5651, FGFR2N550H, FGFR2E566G",inhibitor/antagonist,Other TK inhibitor,yes,yes,Used for cholangiocarcinoma; FDA approved.
Gallic acid,none,n/a,inhibitor/antagonist,Cyclooxygenase inhibitor,no,yes,"Used in supplements, studied for antioxidant properties."
Gallic acid (hydrate),none,n/a,inhibitor/antagonist,Cyclooxygenase inhibitor,no,yes,Evaluated in trials but not approved as a standalone drug.
Gefitinib,EGFR,n/a,inhibitor/antagonist,EGFR/ERBB inhibitor,yes,yes,Approved for non-small cell lung cancer.
Gemcitabine,none,n/a,inhibitor/antagonist,DNA synthesis/repair inhibitor,yes,yes,Approved for cancer treatment like pancreatic and non-small cell lung cancer.
Gemfibrozil,"PPARA, CYP2C9, CYP2C19, CYP2C8, CYP1A2",n/a,unclear,unclear,yes,yes,Approved for dyslipidemia treatment.
Glasdegib,SMO,n/a,inhibitor/antagonist,Sonic inhibitor,yes,yes,Glasdegib is approved for acute myeloid leukemia.
Glycyrrhizic acid,none,n/a,inhibitor/antagonist,unclear,no,yes,"Tested for therapeutic effects, not approved for human use."
Goserelin (acetate),GNRHR,n/a,activator/agonist,unclear,yes,yes,It's approved for prostate and breast cancer treatment.
GSK1059615,"PIK3CA, PIK3CB, PIK3CD, PIK3CG, MTOR",n/a,inhibitor/antagonist,PI3K/AKT inhibitor,no,yes,"Investigated in trials, not approved for human use."
Harringtonine,none,n/a,unclear,Protein synthesis inhibitor,no,yes,"Investigated in trials mainly for cancer treatment, often used as basis for derivatives."
Hesperidin,none,n/a,unclear,unclear,no,yes,"Studied for various health benefits, but not approved as a drug."
Hexylresorcinol,none,n/a,inhibitor/antagonist,unclear,yes,yes,Used in throat lozenges and skin creams for antiseptic purposes.
HI-TOPK-032,PBK,n/a,inhibitor/antagonist,unclear,no,no,No results found on clinicaltrials.gov.
Homoharringtonine,none,n/a,inhibitor/antagonist,Protein synthesis inhibitor,yes,yes,"Used in leukemia treatment, also known as Omacetaxine."
Hydroxyfasudil,"ROCK1, ROCK2, PRKACA",n/a,inhibitor/antagonist,unclear,no,yes,"Studied for therapeutic potential; derivative of fasudil, which is approved."
Hydroxyurea,"RRM2, RRM1",n/a,inhibitor/antagonist,DNA synthesis/repair inhibitor,yes,yes,Approved for sickle cell anemia and certain cancers.
Idarubicin (hydrochloride),TOP2A,n/a,inhibitor/antagonist,DNA synthesis/repair inhibitor,yes,yes,Used in acute myeloid leukemia treatment.
Idoxuridine,none,n/a,unclear,DNA synthesis/repair inhibitor,yes,yes,Used as topical antiviral in eye infections. Approved for human use.
Imiquimod (hydrochloride),TLR7,n/a,activator/agonist,unclear,yes,yes,Approved for topical treatment of skin conditions like actinic keratosis.
Imiquimod (maleate),TLR7,n/a,activator/agonist,unclear,yes,yes,"Approved for skin conditions; imiquimod itself, not specifically maleate salt."
Indacaterol (maleate),ADRB2,n/a,activator/agonist,Adrenoceptor agonist,yes,yes,Approved for COPD as a long-acting bronchodilator.
Infigratinib,"FGFR1, FGFR2, FGFR3, FGFR4",n/a,inhibitor/antagonist,Other TK inhibitor,yes,yes,Used for bile duct cancer treatment.
Ipatasertib,"AKT1, AKT2, AKT3",n/a,inhibitor/antagonist,PI3K/AKT inhibitor,no,yes,"Investigational cancer drug, not approved for human use."
IQ 1,none,n/a,unclear,unclear,no,yes,Investigational drug; not approved for human use yet.
Irinotecan,TOP1,n/a,inhibitor/antagonist,DNA synthesis/repair inhibitor,yes,yes,"Used in cancer treatment, especially for colorectal cancer."
Irinotecan (hydrochloride),TOP1,n/a,inhibitor/antagonist,DNA synthesis/repair inhibitor,yes,yes,Approved for cancer treatment as a topoisomerase inhibitor.
Isocorydine,none,n/a,unclear,unclear,no,no,No clinical trials found on clinicaltrials.gov
Ivabradine (hydrochloride),HCN4,n/a,inhibitor/antagonist,unclear,yes,yes,"Approved for human use, primarily for heart failure and angina management."
Ivermectin,none,n/a,unclear,unclear,yes,yes,Approved for infections in humans and animals.
Ixazomib,PSMB5,n/a,inhibitor/antagonist,Proteasome inhibitor,yes,yes,Approved for multiple myeloma treatment.
Ixazomib citrate,"PSMB1, PSMB2, PSMB5",n/a,inhibitor/antagonist,Proteasome inhibitor,yes,yes,Approved for multiple myeloma treatment as part of a combination therapy.
L-Eflornithine (monohydrochloride),ODC1,n/a,inhibitor/antagonist,unclear,yes,yes,Used to treat sleeping sickness. Approved for human use.
L-Thyroxine (sodium salt pentahydrate),none,n/a,unclear,unclear,yes,yes,"Approved for hypothyroidism, a form of standard thyroid hormone replacement therapy."
Lactate (calcium),none,n/a,unclear,unclear,yes,yes,"Used in medical settings, but not specifically approved as a standalone drug."
Lapatinib ditosylate,"EGFR, ERBB2",n/a,inhibitor/antagonist,EGFR/ERBB inhibitor,yes,yes,Approved for use in breast cancer treatment.
Larotrectinib,"NTRK1, NTRK2, NTRK3",n/a,inhibitor/antagonist,Other TK inhibitor,yes,yes,Approved specifically as a cancer treatment for tumors with NTRK gene fusions.
Larotrectinib sulfate,"NTRK1, NTRK2, NTRK3",n/a,inhibitor/antagonist,Other TK inhibitor,yes,yes,Larotrectinib sulfate is approved to treat TRK fusion-positive cancers.
LB-100,"PPP2CA, PPP2CB",n/a,inhibitor/antagonist,unclear,no,yes,LB-100 is in clinical trials for cancer treatment.
Lenalidomide (hemihydrate),"CRBN, IKZF1, IKZF3",n/a,inhibitor/antagonist,unclear,yes,yes,Approved for multiple myeloma and other conditions.
